Player Name,Location X,Location Y,Model Prediction,Actual Outcome
Randy Foye,861.0,225.0,1.0,1.0
Gordon Hayward,814.0,279.0,0.0,0.0
Spencer Hawes,275.0,79.0,0.0,0.0
Demar Derozan,743.0,360.0,1.0,1.0
Jason Smith,185.0,143.0,1.0,0.0
Demar Derozan,74.0,133.0,0.0,1.0
Manny Harris,136.0,243.0,1.0,1.0
Paul Millsap,126.0,285.0,0.0,1.0
Justise Winslow,842.0,251.0,0.0,1.0
Dennis Schroder,279.0,113.0,0.0,1.0
Kevin Seraphin,888.0,250.0,1.0,1.0
Demarcus Cousins,884.0,260.0,0.0,0.0
Harrison Barnes,225.0,359.0,0.0,1.0
James Harden,602.0,275.0,0.0,0.0
Brook Lopez,131.0,280.0,0.0,0.0
Marcus Smart,97.0,243.0,0.0,1.0
Rodney Hood,241.0,189.0,0.0,0.0
Tyler Johnson,53.0,239.0,1.0,0.0
Brandon Jennings,666.0,360.0,1.0,1.0
Jared Dudley,640.0,241.0,1.0,1.0
Devin Harris,863.0,9.0,0.0,0.0
Kyle O'Quinn,32.0,254.0,0.0,1.0
Jonas Jerebko,715.0,428.0,0.0,0.0
Patty Mills,720.0,431.0,0.0,0.0
Sam Dekker,50.0,252.0,1.0,0.0
Cj Mccollum,54.0,277.0,0.0,0.0
Demarcus Cousins,62.0,233.0,1.0,1.0
Jordan Clarkson,204.0,287.0,0.0,1.0
Thomas Robinson,53.0,220.0,1.0,0.0
Draymond Green,77.0,251.0,1.0,0.0
Jonathan Gibson,660.0,158.0,0.0,0.0
Pau Gasol,650.0,200.0,0.0,1.0
Russell Westbrook,58.0,234.0,1.0,1.0
Austin Rivers,41.0,20.0,0.0,0.0
D'Angelo Russell,202.0,128.0,0.0,0.0
Steven Adams,102.0,246.0,0.0,0.0
Mario Hezonja,637.0,266.0,1.0,0.0
James Harden,323.0,246.0,0.0,0.0
Garrett Temple,234.0,85.0,0.0,1.0
Jameer Nelson,283.0,321.0,1.0,1.0
John Wall,126.0,262.0,1.0,0.0
Tyler Ennis,51.0,283.0,1.0,0.0
Andrew Wiggins,868.0,405.0,1.0,0.0
Harrison Barnes,890.0,483.0,0.0,1.0
Devin Booker,268.0,366.0,0.0,1.0
Eric Gordon,676.0,81.0,0.0,0.0
Michael Carter-Williams,92.0,151.0,1.0,0.0
Gary Harris,894.0,235.0,1.0,1.0
Emmanuel Mudiay,89.0,138.0,0.0,0.0
George Hill,848.0,387.0,1.0,1.0
Terrence Ross,185.0,468.0,0.0,1.0
Hassan Whiteside,215.0,228.0,0.0,1.0
Goran Dragic,92.0,158.0,1.0,0.0
Danilo Gallinari,112.0,388.0,0.0,0.0
Buddy Hield,146.0,22.0,0.0,0.0
Al Horford,52.0,250.0,1.0,1.0
Tj Warren,131.0,269.0,1.0,0.0
Russell Westbrook,750.0,264.0,0.0,0.0
Wesley Matthews,175.0,182.0,1.0,1.0
Dion Waiters,97.0,171.0,1.0,0.0
Demar Derozan,67.0,301.0,0.0,0.0
Brook Lopez,763.0,248.0,0.0,1.0
David Lee,880.0,251.0,0.0,0.0
Rondae Hollis-Jefferson,52.0,250.0,1.0,1.0
Robert Covington,876.0,249.0,1.0,1.0
Eric Bledsoe,889.0,236.0,1.0,1.0
Wesley Matthews,701.0,405.0,0.0,0.0
Kevin Seraphin,645.0,321.0,1.0,0.0
Stephen Curry,50.0,17.0,1.0,0.0
Zach Lavine,59.0,256.0,1.0,0.0
Trevor Ariza,778.0,32.0,0.0,0.0
Kristaps Porzingis,789.0,331.0,0.0,1.0
Trevor Ariza,871.0,480.0,0.0,1.0
Marreese Speights,657.0,145.0,0.0,0.0
